90,6,90,2013,0,13,4,190,G,1,1,2017,2017,0
91,6,91,2015,0,14,3,180,G,0,0,2017,2015,0
92,6,92,2015,0,20,3,195,G,0,0,2017,2015,0
93,6,93,2013,2017,21,4,205,G,0,1,2017,2017,2017
94,6,94,2015,0,22,3,195,G,0,1,2017,2018,0
95,6,95,2014,0,24,3,230,G,0,1,2017,2016,0
96,6,96,2016,0,33,2,195,G,0,0,2017,2016,0
97,6,97,2017,0,41,4,200,G,0,1,2017,2017,0
98,7,98,2014,0,0,3,172,G,0,1,2017,2017,0
99,7,99,2017,0,2,1,195,G,0,1,2017,2017,0
100,7,100,2014,2017,3,4,216,G,0,0,2017,2014,2017
101,7,101,2017,0,4,3,160,G,0,1,2017,2017,0
102,7,102,2017,0,5,1,195,F,0,0,2017,2017,0
103,7,103,2014,0,10,3,210,F,0,1,2017,2016,0
104,7,104,2017,0,11,1,230,F,0,0,2017,2017,0
105,7,105,2016,0,13,2,200,G,1,0,2017,2016,0
106,7,106,2017,0,20,1,195,G,0,0,2017,2017,0
107,7,107,2014,2017,21,4,220,F,0,0,2017,2014,2017
108,7,108,2016,0,24,2,226,F,0,0,2017,2016,0
109,7,109,2014,0,31,3,216,G,0,1,2017,2016,0
110,7,110,2015,0,42,3,200,G,0,0,2017,2015,0
111,7,111,2013,2017,45,5,266,C,0,0,2017,2017,2017
112,8,112,2017,0,2,1,200,G,0,0,2017,2017,0
113,8,113,2017,0,4,1,192,F,0,1,2017,2017,0
114,8,114,2017,0,5,1,215,F,0,0,2017,2017,0
115,8,115,2016,0,10,2,180,G,0,0,2017,2016,0
116,8,116,2017,0,11,1,160,G,0,0,2017,2017,0
117,8,117,2017,0,12,1,195,G,0,0,2017,2017,0
118,8,118,2015,0,13,3,230,C,0,1,2017,2017,0
119,8,119,2017,0,20,1,180,G,0,0,2017,2017,0
120,8,120,2013,2017,21,5,175,G,0,0,2017,2013,2017
121,8,121,2013,2017,23,5,210,F,0,0,2017,2013,2017
122,8,122,2014,0,24,3,235,F,1,0,2017,2014,0
123,8,123,2015,0,25,3,213,G,0,0,2017,2015,0
124,8,124,2018,0,32,1,231,F,0,1,2017,2018,0
125,8,125,2015,0,32,3,205,F,0,0,2017,2015,0
126,8,126,2016,0,41,2,245,C,0,0,2017,2016,0
127,9,127,2017,0,0,1,200,G,0,0,2017,2017,0
128,9,128,2016,0,1,3,175,G,0,1,2017,2016,0
129,9,129,2017,0,2,3,190,F,0,1,2017,2017,0
130,9,130,2017,0,3,1,195,G,0,0,2017,2017,0
131,9,131,2014,0,5,5,170,G,0,1,2017,2018,0
132,9,132,2017,0,10,3,225,F,0,1,2017,2017,0
133,9,133,2016,0,11,2,235,F,0,0,2017,2016,0
134,9,134,2016,0,12,2,230,F,1,0,2017,2016,0
135,9,135,2016,0,13,2,185,F,1,0,2017,2016,0
136,9,136,2017,0,14,1,230,F,0,0,2017,2017,0
137,9,137,2015,0,20,3,200,F,0,1,2017,2018,0
138,9,138,2015,0,24,4,175,G,0,1,2017,2017,0
139,9,139,2016,0,30,4,200,G,0,1,2017,2016,0
140,9,140,2017,0,34,1,215,F,0,0,2017,2017,0
